,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP
23.875,10,0.9953586756779031,70,79.95358675677903,30,0,0.125,0.125
24.0,10,0.9829166922319288,70,79.82916692231929,30,0,0.125,0.125
24.125,10,0.9706302335790298,70,79.7063023357903,30,0,0.125,0.125
24.25,10,0.9584973556592914,70,79.58497355659291,30,0,0.125,0.125
24.375,10,0.9465161387135496,70,79.4651613871355,30,0,0.125,0.125
24.5,10,0.9346846869796295,70,79.3468468697963,30,0,0.125,0.125
24.625,10,0.9230011283923844,70,79.23001128392384,30,0,0.125,0.125
24.75,10,0.9114636142874801,70,79.1146361428748,30,0,0.125,0.125
24.875,10,0.900070319108886,70,79.00070319108886,30,0,0.125,0.125
25.0,10,0.8888194401200252,70,78.88819440120025,30,0,0.125,0.125
25.125,10,0.8777091971185242,70,78.77709197118524,30,0,0.125,0.125
25.25,10,0.8667378321545428,70,78.66737832154543,30,0,0.125,0.125
25.375,10,0.8559036092526113,70,78.55903609252611,30,0,0.125,0.125
25.5,10,0.845204814136953,70,78.45204814136953,30,0,0.125,0.125
25.625,10,0.8346397539602407,70,78.3463975396024,30,0,0.125,0.125
25.75,10,0.8242067570357378,70,78.24206757035738,30,0,0.125,0.125
25.875,10,0.8139041725727907,70,78.1390417257279,30,0,0.125,0.125
26.0,10,0.8037303704156301,70,78.0373037041563,30,0,0.125,0.125
26.125,10,0.7936837407854341,70,77.93683740785434,30,0,0.125,0.125
26.25,10,0.7837626940256157,70,77.83762694025616,30,0,0.125,0.125
26.375,10,0.7739656603502951,70,77.73965660350295,30,0,0.125,0.125
26.5,10,0.7642910895959162,70,77.64291089595916,30,0,0.125,0.125
26.625,10,0.7547374509759678,70,77.54737450975968,30,0,0.125,0.125
26.75,10,0.7453032328387679,70,77.45303232838768,30,0,0.125,0.125
26.875,10,0.7359869424282834,70,77.35986942428283,30,0,0.125,0.125
27.0,10,0.7267871056479294,70,77.2678710564793,30,0,0.125,0.125
27.125,10,0.717702266827331,70,77.17702266827331,30,0,0.125,0.125
27.25,10,0.708730988491989,70,77.08730988491989,30,0,0.125,0.125
27.375,10,0.699871851135839,70,76.99871851135839,30,0,0.125,0.125
27.5,10,0.6911234529966407,70,76.9112345299664,30,0,0.125,0.125
27.625,10,0.6824844098341828,70,76.82484409834183,30,0,0.125,0.125
27.75,10,0.6739533547112557,70,76.73953354711256,30,0,0.125,0.125
27.875,10,0.6655289377773655,70,76.65528937777366,30,0,0.125,0.125
28.0,10,0.6572098260551484,70,76.57209826055148,30,0,0.125,0.125
28.125,10,0.6489947032294594,70,76.4899470322946,30,0,0.125,0.125
28.25,10,0.6408822694390907,70,76.4088226943909,30,0,0.125,0.125
28.375,10,0.632871241071102,70,76.32871241071102,30,0,0.125,0.125
28.5,10,0.6249603505577127,70,76.24960350557713,30,0,0.125,0.125
28.625,10,0.6171483461757419,70,76.17148346175742,30,0,0.125,0.125
28.75,10,0.6094339918485445,70,76.09433991848545,30,0,0.125,0.125
28.875,10,0.6018160669504382,70,76.01816066950438,30,0,0.125,0.125
29.0,10,0.5942933661135583,70,75.94293366113558,30,0,0.125,0.125
29.125,10,0.5868646990371389,70,75.86864699037139,30,0,0.125,0.125
29.25,10,0.5795288902991743,70,75.79528890299174,30,0,0.125,0.125
29.375,10,0.572284779170434,70,75.72284779170434,30,0,0.125,0.125
29.5,10,0.5651312194308034,70,75.65131219430803,30,0,0.125,0.125
29.625,10,0.5580670791879185,70,75.58067079187919,30,0,0.125,0.125
29.75,10,0.5510912406980694,70,75.5109124069807,30,0,0.125,0.125
29.875,10,0.5442026001893439,70,75.44202600189344,30,0,0.125,0.125
30.0,10,0.537400067686977,70,75.37400067686977,30,0,0.125,0.125
